id sire dam EBV sex
1 0 0   4.01749778 1
2 0 0   -3.26706630 1
3 0 0   5.79042061 1
4 0 0   -6.81575509 1
5 0 0   -10.28722240 1
6 0 0   -15.65135579 1
7 0 0   -6.08548674 1
8 0 0   6.18339618 1
9 0 0   -6.48590280 1
10 0 0  8.99566078 1
11 0 0  -7.46910620 1
12 0 0  -7.58629403 1
13 0 0  -20.62717370 1
14 0 0  0.18954355 1
15 0 0  7.47095035 1
16 0 0  -13.42924612 1
17 0 0  -4.92625123 1
18 0 0  -5.94091833 1
19 0 0  1.67630655 1
20 0 0  5.34665284 1
21 0 0  0.08218475 1
22 0 0  -10.31106470 1
23 0 0  -6.56237195 1
24 0 0  3.37670229 1
25 0 0  -4.75054046 1
26 0 0  -3.28694312 1
27 0 0  -3.13010245 1
28 0 0  -0.44076310 1
29 0 0  -6.86804480 1
30 0 0  -24.07425735 1
31 0 0  4.50842860 1
32 0 0  0.38864986 1
33 0 0  0.35817863 1
34 0 0  -2.27972306 1
35 0 0  -8.11369313 1
36 0 0  -3.26453871 1
37 0 0  -21.54724517 1
38 0 0  -7.85005302 1
39 0 0  -5.54680087 1
40 0 0  1.66710545 1
41 0 0  4.42536337 1
42 0 0  -7.75708565 1
43 0 0  -7.20067990 1
44 0 0  -0.99549983 1
45 0 0  -9.18508196 1
46 0 0  -16.73485484 1
47 0 0  -13.56928630 1
48 0 0  -0.23725734 1
49 0 0  -12.87948254 1
50 0 0  -4.40509092 1
51 0 0  -3.57962825 1
52 0 0  -11.29003859 1
53 0 0  -7.05413037 1
54 0 0  -5.62161633 1
55 0 0  -9.60752329 1
56 0 0  -4.77874600 1
57 0 0  -15.98637834 1
58 0 0  0.39936957 1
59 0 0  -2.05354548 1
60 0 0  -4.29163143 1
61 0 0  -0.27130616 1
62 0 0  -12.11315092 1
63 0 0  -8.49060505 1
64 0 0  6.40039288 1
65 0 0  6.27426801 1
66 0 0  1.43612576 1
67 0 0  -4.23328152 1
68 0 0  -5.68619682 1
69 0 0  2.09538103 1
70 0 0  -1.93151818 1
71 0 0  -1.26909555 1
72 0 0  -7.20495215 1
73 0 0  -4.18663758 1
74 0 0  3.12747547 1
75 0 0  -9.06187748 1
76 0 0  -1.29796221 1
77 0 0  -11.13418239 1
78 0 0  2.19758838 1
79 0 0  -3.72994316 1
80 0 0  -7.59167734 1
81 0 0  -13.33327697 1
82 0 0  2.34590236 1
83 0 0  -4.67356314 1
84 0 0  -1.13032436 1
85 0 0  -4.66143418 1
86 0 0  -5.28763290 1
87 0 0  -4.04327777 1
88 0 0  3.81403921 1
89 0 0  -6.97750081 1
90 0 0  -12.70011356 1
91 0 0  6.84965362 1
92 0 0  -0.69412515 1
93 0 0  7.01381323 1
94 0 0  -1.66518928 1
95 0 0  -6.54180004 1
96 0 0  -3.90350279 1
97 0 0  2.22026003 1
98 0 0  0.97173316 1
